,davies_bouldin_score,calinski_harabasz_score,silhouette_score
kmeans_cluster_0,0.27882998186045,30657.03465861262,0.7797448933483162
kmeans_cluster_1,0.7668916424178867,24987.056409983514,0.6602628092298284
kmeans_cluster_2,0.4413022823594851,21153.5629150218,0.6633583055070067
kmeans_cluster_3,0.9697302579977527,18846.128850379537,0.38936814591302377
kmeans_cluster_4,0.8376785349533822,17622.928070170674,0.36682018589879517
kmeans_cluster_5,0.9794427452798407,15993.927118765032,0.37558581203581803
kmeans_cluster_6,0.9965434891649303,14579.260632375146,0.34626706841870186
kmeans_cluster_7,1.054942209718996,13619.381290238245,0.35374288231918943
kmeans_cluster_8,1.0680832186753546,12815.869052947764,0.355123566148579
kmeans_cluster_9,1.393587142614087,11950.40574782365,0.21531067783575353
kmeans_cluster_10,1.2788565512820316,11445.284246187875,0.19603533069139142
kmeans_cluster_11,1.272356254042768,10934.27151483098,0.21248185032284733
kmeans_cluster_12,1.2689975337169803,10266.455656997698,0.21340855465251177
kmeans_cluster_13,1.5722390794615626,9847.222039658933,0.19116453245226353
kmeans_cluster_14,1.2685932898150956,9442.179895574152,0.21083470812510097
kmeans_cluster_15,1.156952559119847,9071.04810695497,0.2130261170918721
kmeans_cluster_16,1.4157124222033046,8709.56747924338,0.1960312306966296
kmeans_cluster_17,1.5848358794962474,8476.910190237986,0.07723653670156996
kmeans_cluster_18,1.3371528231747642,8233.824297578709,0.18657209926740592
kmeans_cluster_19,1.3513421682994216,7979.573135736695,0.19866390675026885
HDBSCAN_50,1.7445413231883824,5125.485670501438,-0.1699856225616143
HDBSCAN_55,1.7866054540140677,5395.80659796587,-0.17097696249570032
HDBSCAN_60,1.8680384482785142,6025.499837617899,-0.171394379550026
HDBSCAN_65,1.9466143240495415,6373.784086403832,-0.17272534657210065
HDBSCAN_70,2.4268995568819345,16660.955365399233,0.6628911501912591
HDBSCAN_75,2.433508282427026,16646.78384324611,0.6628518399575948
HDBSCAN_80,2.4361995177597247,16621.23879837256,0.6628623076040706
HDBSCAN_85,2.445131995264641,16619.078965364024,0.6628352447935427
HDBSCAN_90,2.4516502995266922,16618.16087952823,0.6628279380450373
HDBSCAN_95,2.448485989738231,16613.997250488716,0.6626974944592596
OPTICS,1.5957267584319532,27.655884461148254,-0.44072951855624654
